TIMESTAMPms	M81GYROx	M81GYROy	M81GYROz	M81OPTICALFLOWflowcompmx	M81OPTICALFLOWflowcompmy	M81OPTICALFLOWflowx	M81OPTICALFLOWgrounddistance
778	-2.48174e-05	-6.25649e-06	2.07936e-05	-0.471502	0.0511834	5190	-0.879909
783	-3.245e-05	2.65749e-05	-6.69464e-06	0.509569	0.0265771	5260	-0.858052
788	2.63432e-05	-9.31255e-06	-2.12006e-05	0.209821	0.476303	5200	-0.853879
793	-3.47399e-05	-2.45817e-05	-8.98237e-06	-0.508919	0.0744651	5230	-0.855615
799	-4.84795e-05	-2.43761e-06	3.23461e-06	-0.713448	-0.510652	5200	-0.476283
804	-1.64075e-05	6.72469e-06	4.7613e-06	-0.553527	-0.0510726	5210	-0.831238
809	-4.16015e-05	-5.58834e-05	-1.73808e-05	-0.190784	0.541529	5240	-0.818548
814	6.50349e-06	-1.69391e-05	2.91947e-05	-0.528792	0.0515046	5200	-0.847161
819				-0.565438	-0.0746162	5250	-0.821366
820	-1.13222e-06	-8.5388e-06	1.70562e-06				
825	-6.2976e-05	-2.38081e-05	2.30836e-05	-0.209051	0.475164	5190	-0.852723
836	-5.22807e-05	-1.69341e-05	2.00273e-05	-0.541316	0.0272976	10850	-0.84035
840	-3.16608e-05	-1.54054e-05	-3.95281e-05	0.509571	-0.0745604	4830	-0.85671
846	-5.60898e-05	5.97427e-06	-2.50176e-05	0.445925	0	5210	-0.89496
851	-6.06652e-05	-1.34371e-07	-5.16396e-06	-0.0802502	0	5230	-0.99677
856	1.18477e-06	-3.90731e-05	-3.63643e-06	-0.575785	-0.0504121	5190	-0.816014
861	-9.0436e-05	2.50652e-05	9.34352e-06	-0.551489	-0.0508846	5340	-0.832598
867	-5.37787e-05	-2.15111e-05	2.46127e-05	0.483829	-0.0749624	5570	-0.871472
872	-2.78141e-05	-2.37995e-05	3.99559e-06	-0.540412	0.027252	5250	-0.838946
877	1.18909e-05	-4.74658e-05	3.23169e-06	0.600639	0	5200	-0.799285
883	-6.21703e-05	5.22085e-06	7.81239e-06	-0.575785	-0.0504121	5210	-0.816014
887	8.84192e-06	-1.00498e-05	-2.11396e-06	-0.526716	0.051313	4780	-0.848461
